   MainThread:14:45:30.228 util.py                                   210 DEBUG    | Send cmd --> netsh wlan show interfaces
   MainThread:14:45:30.295 util.py                                   216 DEBUG    | Receive response --> 
There is 1 interface on the system: 

    Name                   : Wi-Fi 2
    Description            : Realtek 8821CU Wireless LAN 802.11ac USB NIC
    GUID                   : b9d164e0-ed6a-4a9e-8ce5-bf7de7efb5ff
    Physical address       : 50:91:e3:21:e7:d6
    Interface type         : Primary
    State                  : disconnected
    Radio status           : Hardware On
                             Software Off

    Hosted network status  : Not available


   MainThread:14:45:30.295 wireless.py                                97 DEBUG    | Wifi setup. Using [WifiCli] driver::[Wi-Fi 2] interface
   MainThread:14:45:30.295 bleak_wrapper.py                          120 INFO     | Scanning for GoPro [A-Z0-9]{4} bluetooth devices...
   MainThread:14:45:30.577 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:31.165 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:45:31.413 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:31.764 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: .
   MainThread:14:45:31.764 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: LE-Acrux.
   MainThread:14:45:32.121 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:45:32.228 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:45:32.943 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:45:33.062 scanner.py                                109 DEBUG    | Received 23:01:01:04:A3:09: .
   MainThread:14:45:33.062 scanner.py                                109 DEBUG    | Received 23:01:01:04:A3:09: KS03~04A309.
   MainThread:14:45:33.521 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:45:33.521 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: .
   MainThread:14:45:33.533 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: LE-Acrux.
   MainThread:14:45:33.767 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:45:33.984 scanner.py                                109 DEBUG    | Received 45:B0:60:6C:23:5D: .
